Trial,Participant,Run,Trial_Type,Value1,Value2,Side_First_Cue,Chose_to_reveal,Choice,NumMoves,Left,Rank1,Rank2,Correct,Value3,Value4,Rank3,Rank4,Values
1,1,1,Option,0.5,30,1,[ 2.],1,1,1,3,2,1,50,,0,,"[30.0, 50.0, 0.5, 0.1]"
2,1,1,Attribute,0.9,0.9,1,[ 3.],2,1,0,5,5,1,10,,-2,,"[0.9, 0.9, 10.0, 50.0]"
3,1,1,Option,70,0.1,1,[ 2.],1,1,1,4,1,1,0.1,,-2,,"[0.1, 0.1, 70.0, 50.0]"
4,1,1,Attribute,0.3,0.5,2,[],2,0,0,2,3,0,,,,,"[50.0, 10.0, 0.5, 0.3]"
5,1,1,Option,70,0.3,2,[],2,0,0,4,2,1,,,,,"[0.3, 0.3, 30.0, 70.0]"
6,1,1,Option,0.1,90,2,[ 1.  3.],1,2,1,1,5,1,70,0.5,1,0,"[70.0, 90.0, 0.5, 0.1]"
7,1,1,Attribute,90,10,1,[],1,0,1,5,1,1,,,,,"[0.1, 0.1, 90.0, 10.0]"
8,1,1,Option,0.9,50,1,[],1,0,1,5,3,0,,,,,"[50.0, 70.0, 0.9, 0.7]"
9,1,1,Option,10,0.7,2,[],1,0,1,1,4,1,,,,,"[50.0, 10.0, 0.5, 0.7]"
10,1,1,Attribute,10,30,1,[],2,0,0,1,2,1,,,,,"[0.5, 0.9, 10.0, 30.0]"
11,1,1,Option,0.1,10,1,[],2,0,0,1,1,1,,,,,"[10.0, 30.0, 0.1, 0.3]"
12,1,1,Option,0.3,30,1,[],2,0,0,2,2,1,,,,,"[0.3, 0.7, 30.0, 90.0]"
13,1,1,Option,0.7,90,2,[],2,0,0,4,5,1,,,,,"[0.7, 0.7, 10.0, 90.0]"
14,1,1,Option,90,0.9,2,[],2,0,0,5,5,1,,,,,"[30.0, 90.0, 0.3, 0.9]"
15,1,1,Attribute,0.5,0.3,2,[ 3.],2,1,0,3,2,1,10,,-2,,"[0.3, 0.5, 10.0, 30.0]"
16,1,1,Option,50,0.5,2,[ 1.],1,1,1,3,3,1,90,,2,,"[90.0, 50.0, 0.5, 0.5]"
18,1,1,Attribute,0.3,0.7,1,[],2,0,0,2,4,1,,,,,"[50.0, 30.0, 0.3, 0.7]"
19,1,1,Attribute,30,10,1,[],1,0,1,2,1,1,,,,,"[30.0, 10.0, 0.5, 0.3]"
20,1,1,Attribute,10,70,2,[],1,0,1,1,4,1,,,,,"[0.5, 0.1, 70.0, 10.0]"
21,1,1,Option,30,0.3,1,[],2,0,0,2,2,1,,,,,"[0.3, 0.7, 30.0, 70.0]"
22,1,1,Option,0.5,50,2,[ 1.],1,1,1,3,3,1,90,,2,,"[90.0, 50.0, 0.7, 0.5]"
23,1,1,Option,0.3,70,2,[],2,0,0,2,4,1,,,,,"[0.1, 0.3, 90.0, 70.0]"
24,1,1,Option,30,0.7,2,[ 1.  3.],2,2,0,2,4,1,0.5,30,0,-1,"[0.5, 0.7, 30.0, 30.0]"
25,1,1,Option,0.7,70,1,[],1,0,1,4,4,1,,,,,"[0.7, 0.5, 70.0, 10.0]"
26,1,1,Attribute,50,30,1,[ 2.],2,1,0,3,2,0,0.3,,-1,,"[0.9, 0.3, 50.0, 30.0]"
27,1,1,Attribute,90,50,2,[],2,0,0,5,3,1,,,,,"[0.5, 0.5, 50.0, 90.0]"
28,1,1,Attribute,0.5,0.1,1,[],1,0,1,3,1,1,,,,,"[0.5, 0.1, 70.0, 30.0]"
29,1,1,Attribute,50,90,2,[],1,0,1,3,5,0,,,,,"[0.1, 0.7, 90.0, 50.0]"
30,1,1,Option,50,0.5,1,[ 2.],1,1,1,3,3,1,10,,-2,,"[50.0, 10.0, 0.5, 0.7]"
31,1,1,Attribute,0.1,0.1,2,[],1,0,1,1,1,0,,,,,"[0.1, 0.1, 70.0, 90.0]"
32,1,1,Attribute,0.7,0.3,1,[],1,0,1,4,2,1,,,,,"[50.0, 10.0, 0.7, 0.3]"
33,1,1,Attribute,70,90,2,[ 3.],1,1,1,4,5,1,0.9,,2,,"[90.0, 70.0, 0.9, 0.3]"
34,1,1,Attribute,0.9,0.7,2,[ 3.],2,1,0,5,4,1,10,,-2,,"[0.7, 0.9, 10.0, 30.0]"
35,1,1,Attribute,0.1,0.9,1,[],2,0,0,1,5,1,,,,,"[0.1, 0.9, 70.0, 50.0]"
36,1,1,Option,0.9,10,2,[ 1.],1,1,1,5,1,1,50,,0,,"[50.0, 10.0, 0.5, 0.9]"
37,1,1,Attribute,70,70,1,[ 3.],1,1,1,4,4,1,0.9,,2,,"[70.0, 70.0, 0.9, 0.1]"
38,1,1,Option,10,0.1,1,[],2,0,0,1,1,1,,,,,"[10.0, 90.0, 0.1, 0.1]"
39,1,1,Attribute,0.7,0.5,2,[ 2.],2,1,0,4,3,1,90,,2,,"[30.0, 90.0, 0.5, 0.7]"
40,1,1,Option,90,0.9,1,[],1,0,1,5,5,1,,,,,"[90.0, 90.0, 0.9, 0.7]"
41,1,2,Attribute,50,30,2,[ 4.  3.],1,2,1,3,2,1,0.1,0.7,-2,1,"[30.0, 50.0, 0.7, 0.1]"
42,1,2,Attribute,70,70,2,[ 2.  1.],2,2,0,4,4,1,0.5,0.3,0,-1,"[0.3, 0.5, 70.0, 70.0]"
43,1,2,Option,0.9,50,2,[ 3.],1,1,1,5,3,0,90,,2,,"[0.3, 0.9, 90.0, 50.0]"
44,1,2,Option,0.5,30,2,[ 3.],1,1,1,3,2,1,90,,2,,"[0.5, 0.5, 90.0, 30.0]"
45,1,2,Attribute,0.3,0.7,2,[],1,0,1,2,4,0,,,,,"[0.7, 0.3, 10.0, 90.0]"
46,1,2,Attribute,0.7,0.7,1,[ 3.],2,1,0,4,4,1,30,,-1,,"[0.7, 0.7, 30.0, 90.0]"
47,1,2,Attribute,0.5,0.1,2,[],2,0,0,3,1,1,,,,,"[90.0, 50.0, 0.1, 0.5]"
48,1,2,Attribute,0.3,0.5,1,[ 4.],2,1,0,2,3,1,90,,2,,"[0.3, 0.5, 50.0, 90.0]"
49,1,2,Option,0.3,90,2,[ 3.  1.],1,2,1,2,5,1,0.7,90,1,2,"[90.0, 90.0, 0.7, 0.3]"
50,1,2,Option,70,0.3,1,[ 4.],2,1,0,4,2,1,0.7,,1,,"[70.0, 70.0, 0.3, 0.7]"
51,1,2,Option,90,0.7,2,[],2,0,0,5,4,1,,,,,"[0.5, 0.7, 10.0, 90.0]"
